,Word,Definition
1409,МЦ,международный центр
1410,МЦ,металлургический цех
1411,МЦ,межбанковский центр
1412,МЦ,муниципальный центр
1413,МЦ,молодёжный центр
1414,МЦ,медиацентр
1415,"МЦ, МЦМ",металлургия цветных металлов
1416,"МЦ, матценности",материальные ценности
1417,МЦ-,модем цифровой
1418,МЦМ,"Министерство цветной металлургии, Минцветмет"
1419,МЦМ,Межотраслевой центр мониторинга
1420,МЦМ,многоцелевой модуль
1421,МЦМ,Министерство цветной металлургии
1422,МЭЛИ,Московский экономико-лингвистический институт
1423,Мал,Книга пророка Малахии
1424,Мал.,Малага
1425,"МарГТУ, МГТУ",Марийский государственный технический университет
1426,"Мб, Мбит",мегабит
1427,Мбар,мегабар
1428,Мбит,Международное бюро информации и телекоммуникаций
1429,"МвМ, ММС",материаловедение в машиностроении
1430,"Межкнига, МК",«Международная книга»
1431,"Межрабпом, МРП",Международная рабочая помощь
1432,Мз,масса заготовки
1433,"МиСБ, МСБ",малый и средний бизнес
1434,"Минздрав, Минздрав России",Министерство здравоохранения Российской Федерации
1435,Минсельхоз СССР,Министерство сельского хозяйства СССР
1436,"Минсельхоззаг, Минсельхоззаг СССР",Министерство сельского хозяйства и заготовок СССР
1437,Минтранс России,Министерство транспорта Российской Федерации
1438,"Минтранс России, МТРФ",Министерство транспорта Российской Федерации
1439,"Минтранссвязи, Минтранссвязи России",Министерство транспорта и связи Российской Федерации
1440,Мк,Евангелие от Марка
1441,Мкр,момент крутящий
1442,"МлО, МО",метрологическое обеспечение
1443,Мн,Минск
1444,"Мосгорсовет, Моссовет",Московский городской совет депутатов трудящихся
1445,"Мосправительство, МП",Московское правительство
1446,"Моссовет, МС","Московский совет
Московский Совет рабочих, крестьянских и красноармейских депутатов"
1447,"Мпикс, Мп, Мпк",мегапиксель
1448,"Мпк, Мпс",мегапарсек
1449,Мц,марганец
1450,НИ ТПУ,Национальный исследовательский Томский политехнический университет
1451,НИИОМТПЛАБОПАРМБЕТЖЕЛБЕТРАБСБОРМОНИМОНКОНОТДТЕХСТРОМОНТ,Научно-исследовательская лаборатория операций по армированию бетона и железобетонных работ по сооружению сборно-монолитных и монолитных конструкций отдела технологии строительно-монтажного управления Академии строительства и архитектуры СССР
1452,"НИУ РЭТ ТПУ, НИ ТПУ","Национальный исследовательский университет ресурсоэффективных технологий «ТПУ»;
Национальный исследовательский Томский политехнический университет"
1453,НКВД,Народный комиссариат виртуальных дел
1454,НКВД,Николаевский кожновенерологический диспансер
1455,НКВД,«нет крепче воровской дружбы»
1456,НКВД,"Национальная комиссия по вопросам демократии и гражданского общества
Национальная комиссия по вопросам демократии"
1457,НКВД,Норильский кожно-венерологический диспансер
1458,НКВД,Нижегородский клуб внедорожного движения
1459,НКВД,Новосибирский кожно-венерологический диспансер
1460,НКВД,Независимая компания взаимного доверия
1461,"НКГБ, НКГБ СССР",Народный комиссариат государственной безопасности СССР
1462,"НКГБ, НКГБ СССР",Народный комиссариат государственной безопасности СССР
1463,НКЗ,Никольский кирпичный завод
1464,НКЗ,надводная конструктивная защита
1465,НКЗ,Норский керамический завод
1466,НКЗ,номинальный коэффициент защиты
1467,"НКЗ, НКСЗ",Нязепетровский краностроительный завод
1468,Наркомвнудел,Народный комиссариат внутренних дел
1469,"Наркомвнудел, НКВД, НКВД СССР",Народный комиссариат внутренних дел СССР
1470,"Наркомздрав, НКЗ",Народный комиссариат здравоохранения
1471,"Наркомзем, Наркомзем РСФСР",Народный комиссариат земледелия РСФСР
1472,"Наркомзем, Наркомзем СССР, НКЗ, НКЗем",Народный комиссариат земледелия
1473,ОГПИ,Ошский государственный педагогический институт
1474,ОГПИ,Орловский государственный педагогический институт
1475,ОГПИ,Оренбургский государственный педагогический институт
1476,ОГПИ,Орский государственный педагогический институт им. Т. Г. Шевченко
1477,ОГПУ,Одесский государственный политехнический университет
1478,ОГПУ,Оренбургский государственный педагогический университет
1479,ОГПУ,оператор глобального позиционирования и управления
1480,ОГПУ,"«о, господи, помоги убежать»"
1481,ОГПУ,Оренбургское газопромысловое управление
1482,"ОГПУ, ОГПУ СНК СССР",Объединённое государственное политическое управление при Совете Народных Комиссаров СССР
1483,"ОГПУ, ОмГПУ",Омский государственный педагогический университет
1484,ОГТИ,Орский гуманитарно-технологический институт
1485,ОМЗ-МНП,Объединенные машиностроительные заводы — Морские и нефтегазовые проекты
1486,ОРППО,Общероссийский межотраслевой профессиональный союз работников унитарных предприятий и охранной сферы деятельности
1487,П,психология
1488,П,пост
1489,П,практика
1490,П,прочный
1491,П,плотная посадка
1492,П,плиточный
1493,П,планировщик
1494,П,пеленг
1495,П,пассивный
1496,П,паровоз
1497,П,пулемётчик
1498,П,пневмония
1499,П,пойнтер
1500,П,почтовый вагон
1501,П,полип
1502,П,перевязка
1503,П,"маркировка люков, дверей, горловин на корабле, расположенных на первой непрерывной палубе, проходящей над ватерлинией, а также всех горловин ниже этой линии и не входящих в группу горловин, маркированных буквами «Б» и «З». Также маркировка рубочного люка, переборочных и палубных люков и дверей подводной лодки"
1504,П,проникающий
1505,П,начальник службы пути
1506,П,пищевод
1507,П,Победа
1508,П,перфорация
1509,П,промышленный паровоз
1510,П,приёмный калибр
1511,П,переключатель
1512,П,прозрачное стекло
1513,П,плита
1514,П,полнолуние
1515,П,"маркировка люков, дверей, горловин на корабле, которые в ночное время после сигнала «Задраить» могут быть отдраены"
1516,П,пета...
1517,П,поверхностная проводимость
1518,П,для пустынных фонов
1519,П,подозрительный
1520,П,подъёмник
1521,"П, П., пз",пуаз
1522,"П, ПГ",прогестерон
1523,"П, Пр",предохранитель
1524,"П, Прд",передатчик
1525,"П, пес.",песчаный
1526,"П, пл., платф.",платформа
1527,"П, пов.",повышенный
1528,"П, пост. ог.",постоянный огонь
1529,П. К.,Пиквикский клуб
1530,"П., ПСТ",поставщик
1531,"П., Пг., Птгд.",Петроград
1532,"П., п. п., предл.",предложный падеж
1533,"П., пат.",патент
1534,П.-Р.,Пуэрто-Рико
1535,П.Р.,Перно Рикар
1536,"П.С., ПС",Петроградская сторона
1537,ПАВ,Петербургский археологический вестник
1538,ПАВ,предельный аварийный выброс
1539,ПАВ,поверхностная акустическая волна
1540,ПАВ,пневмоагрегат виноградниковый
1541,ПАВ,психоактивное вещество
1542,ПАВ,программно-аппаратное воздействияе
1543,ПАВ,подача атмосферного воздуха
1544,"ПАВ, ПОВ",поверхностно-активное вещество
1545,ПАВ-,полуавтомат выдува
1546,ПАД,Пермавтодор
1547,ПАД,протяжённость автомобильных дорог
1548,ПАД,пороховой аккумулятор давления
1549,ПАД,Служба педагогического обмена
1550,ПАД,пакетный адаптер данных
1551,ПАД,платная автомобильная дорога
1552,ПАД,пользователи автомобильных дорог
1553,ПАД,подсистема абонентского доступа
1554,ПАД,повышенное артериальное давление
1555,ПАД,пульсовое артериальное давление
1556,ПАТ,публичное акционерное товарищество
1557,ПАТ,ГУП «Пассажиравтотранс»
1558,ПАТ,полиамидный тросовой свивки
1559,ПАТ,полимерная армированная труба
1560,ПАТ,Пермский авиационный техникум имени А. Д. Швецова
1561,ПБ,«Програмбанк»
1562,ПБ,политика безопасности
1563,ПБ,препарат бактериальный
1564,ПБ,"плавбассейн;
плавательный бассейн"
1565,ПБ,полиция безопасности
1566,ПБ,Приватбанк
1567,ПБ,Политбюро
1568,ПБ,проездной билет
1569,ПБ,прогнозный баланс
1570,ПБ,Парламентская библиотека
1571,ПБ,планировщик балласта
1572,ПБ,пункционная биопсия
1573,ПБ,платежный баланс
1574,ПБ,пистолет бесшумный
1575,ПБ,Полибрас
1576,ПБ,педаль безопасности
1577,ПБ,правила безопасности
1578,ПБ,патентное бюро
1579,ПБ,"Политическое бюро, Политбюро"
1580,ПБ,пункт боепитания
1581,ПБ,природный битум
1582,ПБ,погрузчик-бульдозер
1583,ПБ,бесконтактный пускатель
1584,ПБ,пункт базирования
1585,ПБ,подводный бульдозер
1586,ПБ,подвесной бак
1587,ПБ,пикирующий бомбардировщик
1588,ПБ,подкрановая балка
1589,ПБ,пехотный батальон
1590,ПБ,пожарная безопасность
1591,ПБ,Партия большинства
1592,ПБ,Правэкс-банк
1593,ПБ,полубронебойный
1594,ПБ,производственная база
1595,ПБ,промежуточная балка
1596,ПБ,Партия благоденствия
1597,"ПБ, ПсБ",психологическая борьба
1598,"ПБ, плавбаза","плавучая база
плавучая батарея"
1599,"ПБ, пр.б., ПРБ",правый борт
1600,"ПБ, промбезопасность",промышленная безопасность
1601,"ПБ, психбольница",психиатрическая больница
1602,ПБР,Профсоюз блогеров России
1603,ПБР,портал «Библиотеки России»
1604,ПБР,проект буровых работ
1605,ПБР,пункт боевого расхождения
1606,ПБР,подразделение быстрого реагирования
1607,ПБР,Партия бедноты России
1608,ПБР,полимерный буровой раствор
1609,ПБР,прибор биологической разведки
1610,"ПБР-, ПРБ",пускатель бесконтактный реверсивный
1611,ПБр,пехотная бригада
1612,ПВ,полиовирус
1613,ПВ,патрон взрывной негерметичный
1614,ПВ,пищевые волокна
1615,ПВ,подогреватель воздуха
1616,ПВ,прокатные валки
1617,ПВ,производственная вибрация
1618,ПВ,промышленность вооружения
1619,ПВ,пулемёт воздушный
1620,ПВ,ООО «Петербургское востоковедение»
1621,ПВ,подземное выщелачивание
1622,ПВ,прибор Вика
1623,ПВ,подземные воды
1624,ПВ,«Педагогические вести»
1625,ПВ,пункт выдачи
1626,ПВ,продолжительность включения
1627,ПВ,перемотчик видеокассет
1628,ПВ,премиальные выплаты
1629,ПВ,«Причулымский вестник»
1630,ПВ,питательная вода
1631,ПВ,«Профсоюзные вести»
1632,ПВ,полярный воздух
1633,ПВ,пункт воздействия
1634,ПВ,полувагон
1635,ПВ,перекись водорода
1636,ПВ,полезное время
1637,ПВ,правое вращение
1638,ПВ,пакетный выключатель
1639,ПВ,промежуточные волны
1640,ПВ,промывная вода
1641,ПВ,проводное вещание
1642,ПВ,переключатель вольтметровый
1643,ПВ,пункт взрыва
1644,ПВ,полигон высоконагружаемый
1645,ПВ,пехотный взвод
1646,ПВ,"пункт высадки
пункт выброски"
1647,ПВ,«Проблемы востоковедения»
1648,ПВ,плавкая вставка
1649,ПВ,пушечное вооружение
1650,ПВ,Партия Венстре
1651,ПВ,порт военный
1652,ПВ,папилломавирус
1653,ПВ,Патентное ведомство
1654,ПВ,природные воздействия
1655,"ПВ, ПТВ",протромбиновое время
1656,"ПВ, погранвойска",пограничные войска
1657,"ПВ, пулв, пулвзвод",пулемётный взвод
1658,ПВ-,паяльный высокотемпературный [флюс]
1659,ПГ,почётный гражданин
1660,ПГ,портальная гипертензия
1661,ПГ,пропиленгликоль
1662,ПГ,простагландины
1663,ПГ,Президент Грузии
1664,ПГ,прикладная геодезия
1665,ПГ,пожарный гидрант
1666,ПГ,простой герпес
1667,ПГ,повышенная готовность
1668,ПГ,плотность грунта
1669,ПГ,паяльная горелка
1670,ПГ,"«Преступная группа»
«Противотанковая граната»
«Пожарный гидрант»"
1671,ПГ,пушка-гаубица
1672,ПГ,Парламентская газета
1673,ПГ,первичная группа
1674,ПГ,письма граждан
1675,ПГ,«Полит-грамота»
1676,ПГ,пресс гидравлический
1677,ПГ,подъёмник грузовой
1678,ПГ,Парк им. Горького
1679,ПГ,панель перегородок
1680,ПГ,простагландин
1681,ПГ,перегревание
1682,ПГ,парогенератор
1683,ПГ,погрузчик грейферный
1684,ПГ,пусковой генератор
1685,ПГ,противотанковая граната
1686,ПГ,полевой госпиталь
1687,ПГ,пневмограмма
1688,ПГ,планировщик гидравлический
1689,ПГ,парниковый газ
1690,ПГ,план-график
1691,ПГ,«Православная газета»
1692,ПГ,прокалённый глинозём
1693,ПГ,птичий грипп
1694,ПГ,показатель громкости
1695,ПГ,попутный газ
1696,ПГ,переключатель галетный
1697,ПГ,подвижная группа
1698,ПГ,приключенческая гонка
1699,ПГ,промышленная группа
1700,ПГ,природный газ
1701,ПГ,показатель гемоглобина
1702,ПГ,полезный груз
1703,ПГ,прогормон конвертазы
1704,ПГ,производственная группа
1705,ПГ,патрульная группа
1706,ПГ,Партия граждан
1707,ПГ,паратгормон
1708,ПГ,пеленгатор грубый
1709,ПГ,пылеугольная горелка
1710,ПГК,Петрозаводская государственная консерватория
1711,ПГК,партийно-государственный контроль
1712,ПГК,Первая горнорудная компания
1713,ПГК,Пензенская генерирующая компания
1714,ПГК,«Первая грузовая компания»
1715,ПГК,Первая горная компания
1716,ПГК,Первая гранитная корпорация
1717,ПГК,промыслово-геофизическая контора
1718,ПГК,Петербургская генерирующая компания
1719,ПГК,потребительский гаражный кооператив
1720,ПГК,промежуточный государственный контроль
1721,ПГК,почтово-грузовой комплекс
1722,ПГК,Пермская генерирующая компания
1723,ПГКУ,Приднестровский государственно-корпоративный университет имени Т. Г. Шевченко
1724,ПГКУ,Первая грузовая компания в Украине
1725,ПГМ,«Промгидромеханизация»
1726,ПГМ,песчано-гравийные материалы
1727,ПГМ,психогеометрическое моделирование
1728,ПГМ,перфоратор гидромеханический
1729,ПГМ,патрульная группа на машине
1730,ПГМ,пероксигидрат мочевины
1731,ПГМ,поражение головного мозга
1732,ПГМ,прикладная гидроаэромеханика и механотроника
1733,ПГМ,прикладная гидромеханика
1734,ПГМ,провод гибкий морской
1735,ПГМ,привод гнезда манипулятора
1736,ПГМ,пресс макулатурный однокамерный горизонтального действия
1737,ПГМ,пресс [испытательный] гидравлический малогабаритный
1738,ПГМ,начальник дорожной геофизической станции
1739,ПГМ,пресс-гранулятор малогабаритный
1740,ПГМ,пакер гидромеханический
1741,ПГМ,противогололёдный материал
1742,ПГМ,природный газ магистральный
1743,ПГМ,монопероксигидрат мочевины
1744,ПГМ,пресс гидравлический многоплунжерный
1745,ПГМ,православие головного мозга
1746,ПГМ,план генерального межевания
1747,ПГНИУ,Пермский государственный национальный исследовательский университет
1748,ПГТУ,Поволжский государственный технологический университет
1749,ПГТУ,Приазовский государственный технический университет
1750,ПГТУ,парогазотурбинная установка
1751,ПГТУ,Пензенский государственный технический университет
1752,ПГТУ,"парогазотурбинная установка
парогазовая турбинная установка"
1753,ПГТУ,Пятигорский государственный технологический университет
1754,"ПГТУ, ПерГТУ",Пермский государственный технический университет
1755,ПГУ,Приднестровский государственный университет имени Т. Г. Шевченко
1756,ПГУ,Профсоюз горняков Урала
1757,ПГУ,Полоцкий государственный университет
1758,ПГУ,пеногенераторная установка
1759,ПГУ,Павлодарский государственный университет имени С. Торайгырова
1760,ПГУ,парогенераторная установка
1761,ПГУ,подземная газификация угля
1762,ПГУ,парогазовая установка
1763,ПГУ,Петрозаводский государственный университет имени О. В. Куусинена
1764,ПГУ,пневмогидроусилитель
1765,ПГУ,портал государственных и муниципальных услуг
1766,ПГУ,пакет гарантированных услуг
1767,"ПГУ, ПГУ КГБ СССР",Первое главное управление КГБ СССР
1768,"ПГУ, ПенГУ, ПензГУ",Пензенский государственный университет
1769,"ПГУ, ПерГУ, ПермГУ",Пермский государственный университет
1770,"ПГУ, ПомГУ",Поморский государственный университет имени М. В. Ломоносова
1771,ПГУ-,подвижная гидроустановка
1772,ПД,план действий
1773,ПД,предпринимательская и иная приносящая доход деятельность
1774,ПД,пренатальная диагностика
1775,ПД,последовательность действий
1776,ПД,память данных
1777,ПД,проектная документация
1778,ПД,пищевые добавки
1779,ПД,правая доля
1780,ПД,противодымный
1781,ПД,программа действий
1782,ПД,пространственные данные
1783,ПД,пороговая доза
1784,ПД,предел дозы
1785,ПД,перитонеальный диализ
1786,ПД,патентная документация
1787,ПД,пункт дегазации
1788,ПД,продукты деления
1789,ПД,проверочное давление
1790,ПД,переключатель дистанционный
1791,ПД,пропорционально-дифференциальный
1792,ПД,«Проходной двор»
1793,ПД,плуг двухъярусный
1794,ПД,пульсовое давление
1795,ПД,"поршневой двигатель
приводной двигатель"
1796,ПД,переключатель давления
1797,ПД,программный документ
1798,ПД,плавучий дом
1799,ПД,Партия за демократию
1800,ПД,платёжный документ
1801,ПД,потери дохода
1802,ПД,пехотная дивизия
1803,ПД,приёмник давления
1804,ПД,потенциал действия
1805,ПД,передача данных
1806,ПД,предварительный договор
1807,ПД,правовой департамент
1808,ПД,побочное действие
1809,ПД,паспортные данные
1810,ПД,Правое дело
1811,ПД,дорожный мастер
1812,ПД,прокатный дивизион
1813,ПД,Петербургский диалог
1814,ПД,подъёмный двигатель
1815,"ПД, ПД-",преобразователь давления
1816,"ПД, ПДн",персональные данные
1817,"ПД, ПРД",предварительная декларация
1818,"ПД, Пушдом",Пушкинский дом
1819,"ПД, плавдок","плавучий док
плавающий док"
1820,ПДН,Партия демократии народов
1821,ПДН,постоянные и длительные нагрузки
1822,ПДН,плита дорожная напряжённая
1823,ПДН,прибор для дешифрирования негативов
1824,ПДН,продукция двойного назначения
1825,ПДН,проектная добыча нефти
1826,ПДН,Подразделение по делам несовершеннолетних
1827,ПДН,повышение давления нагнетания
1828,ПДН,предельно допустимая нагрузка
1829,ПДП,плита дорожная прямоугольная
1830,ПДП,пункт децентрализованной печати
1831,ПДП,«Пиротехнические дворы Петергофа»
1832,ПДП,производственная деятельность предприятия
1833,ПДП,предельно допустимое поступление
1834,ПДП,поочередная двухсторонняя передача
1835,ПДП,первая доврачебная помощь
1836,ПДП,Программа добровольной помощи
1837,ПДП,передвижной диспетчерский пункт
1838,ПДП,Партия диктатуры пролетариата
1839,ПДП,прачечно-дезинфекционный пункт
1840,ПДП,парашютно-десантная подготовка
1841,ПДП,подвижной диспетчерский пункт
1842,ПДП,пистолет дыропробивной
1843,ПДП,подвесной дегазационный прибор
1844,ПДП,плазменно-дуговая печь
1845,ПДП,"проект детальной планировки
план детальной планировки"
1846,ПДП,плазменно-дуговой переплав
1847,ПДП,пренебрежение дифференциальным перекрыванием
1848,ПДП,положительный денежный поток
1849,ПДП,Прогрессивная демократическая партия
1850,ПДП,Прогрессивно-демократическая партия
1851,ПДП,Партия за демократическое процветание
1852,ПДП,Памятники древней письменности
1853,ПДП,посадочный диспетчерский пункт
1854,ПДП,порождающий данные процесс
1855,ПДП,прямой доступ к памяти
1856,ПЕР,Партия единства и развития
1857,ПЕС,Партия европейских социалистов
1858,ПЕС,«плохо её слушался»
1859,ПЕС,политика европейского соседства
1860,ПЗ,проектное землетрясение
1861,ПЗ,переходная зона
1862,ПЗ,Параметры Земли
1863,ПЗ,парковая зона
1864,ПЗ,подрывной заряд
1865,ПЗ,последующая задача
1866,ПЗ,пояснительная записка
1867,ПЗ,приёмка заказчика
1868,ПЗ,проект застройки
1869,ПЗ,представитель заказчика
1870,ПЗ,протекторная защита
1871,ПЗ,пограничное значение
1872,ПЗ,призабойная зона
1873,ПЗ,проектное землятресение
1874,ПЗ,«Полярная звезда»
1875,ПЗ,предзаряд
1876,ПЗ,Партия Зелёных
1877,ПЗ,план землепользования
1878,ПЗ,пуля зажигательная
1879,ПЗ,проектное задание
1880,ПЗ,парашют запасной
1881,ПЗ,подсчёт запасов
1882,ПЗ,профессиональная задача
1883,ПЗ,поражение зрения
1884,ПЗ,погашение задолженности
1885,ПЗ,последний звонок
1886,ПЗ,предварительная засечка
1887,ПЗ,побудительный золотник
1888,ПЗ,полоса заграждения
1889,ПЗ,протравливатель зерновой
1890,ПЗ,параметр защищённости
1891,ПЗ,поворотная заслонка
1892,ПЗ,программная задача
1893,ПЗ,производственное здание
1894,ПЗ,практическое занятие
1895,ПЗ,простая закупка
1896,ПЗ,постановка задачи
1897,ПЗ,профиль защиты
1898,ПЗ,зенитный перископ
1899,ПЗ,предупредительная защита
1900,ПЗ,пункт зарядки
1901,"ПЗ, П. з., п.з., п/з",поле зрения
1902,"ПЗ, п/з",производственная зона
1903,"ПЗ, п/з, погз, погранзастава",пограничная застава
1904,"ПЗ, пивзавод",пивоваренный завод
1905,"ПЗ, племзавод",племенной завод
1906,"ПЗ, погранзона",пограничная зона
1907,"ПЗ, подзаг., подзагол.",подзаголовок
1908,"ПЗ, промзона",промышленная зона
1909,ПЗС,подвижная зарядная станция
1910,ПЗС,периферийная земная станция
1911,ПЗС,прибор с зарядовой связью
1912,ПЗС,пообъектная заказная спецификация
1913,ПЗС,программа защиты свидетелей
1914,ПЗС,плавучая заправочная станция
1915,ПЗС,приёмная земная станция
1916,ПЗС,Палестинский законодательный совет
1917,ПЗС,"передвижная звукозаписывающая станция
передвижная звуковая станция"
1918,ПЗС,призабойная зона скважины
1919,ПЗС,подводный землесосный снаряд
1920,ПЗС,плата за соединение
1921,ПЗС,проектирование зданий и сооружений
1922,"ПЗС, ПС",противозачаточное средство
1923,ПИАР,патриотическое информационное агентство «Русь»
1924,ПИАР,портал информационного автоматизированного развития
1925,ПК,пороговая концентрация
1926,ПК,подземные коммуникации
1927,ПК,паркур
1928,ПК,перфокарта
1929,ПК,пехотный корпус
1930,ПК,пресс-клуб
1931,ПК,плановая комиссия
1932,ПК,пластиковая карточка
1933,ПК,пуповинная кровь
1934,ПК,подогреватель кокса
1935,ПК,пластичный комплекс
1936,ПК,программный комитет
1937,ПК,посадочный курс
1938,ПК,периферийный комплекс
1939,ПК,пивоваренная компания
1940,ПК,пневмоконтактор
1941,ПК,передний край
1942,ПК,подводная камера
1943,ПК,патриарх Кирилл
1944,ПК,программируемый контроллер
1945,ПК,пируваткиназа
1946,ПК,от англ.: player killer
1947,ПК,подкомитет
1948,ПК,поправка на курс
1949,ПК,прямая кишка
1950,ПК,посадочный комплекс
1951,ПК,прямая кромка
1952,ПК,пропиленкарбонат
1953,ПК,профильное комплексирование
1954,ПК,Парижский клуб
1955,ПК,предохранительный клапан
1956,ПК,печёночный кровоток
1957,ПК,пародонтальный карман
1958,ПК,пожарный кран
1959,ПК,профессиональная компетенция
1960,ПК,Приморский край
1961,ПК,пулемёт Калашникова
1962,ПК,подготовительные курсы
1963,ПК,план координации
1964,ПК,поликарбонат
1965,ПК,Приморский кондитер
1966,ПК,паронит кислотостойкий
1967,ПК,приёмный комплекс
1968,ПК,«Профсоюзный курьер»
1969,ПК,персональный компьютер
1970,ПК,печь кальцинации
1971,ПК,проходческий комбайн
1972,ПК,подборщик-копнитель
1973,ПК,ОАО «Персональные коммуникации»
1974,ПК,пусковой комплекс
1975,ПК,плоские кондиломы
1976,ПК,"паровой котел;
паровой кран"
1977,ПК,"Петербургский комитет;
Петроградский комитет"
1978,ПК,пароход колесный
1979,ПК,показатель качества
1980,ПК,переключатель концевой
1981,ПК,«победитель класса»
1982,ПК,пуск колонки
1983,ПК,поликардиография
1984,ПК,параболическая комета
1985,ПК,пусковой контейнер
1986,ПК,подготовительная комиссия
1987,ПК,полномочная конференция
1988,ПК,питатель качающийся
1989,ПК,корпусный кумулятивный перфоратор многократного использования
1990,ПК,почтовый контроль
1991,ПК,"производственный комбинат
производственный комплекс"
1992,ПК,производственный кооператив
1993,ПК,пропарочная камера
1994,ПК,парусный клуб
1995,ПК,пикет
1996,ПК,перегрузочный контейнер
1997,ПК,приёмная комиссия
1998,ПК,политический контроль
1999,ПК,промышленная компания
2000,ПК,поливочный кран
2001,ПК,преобразователь кода
2002,ПК,производственная компания
2003,ПК,прочный корпус
2004,ПК,пионерская комната
2005,ПК,пушечный контейнер
2006,ПК,производственный комплекс
2007,ПК,промежуточная камера
2008,ПК,повышение квалификации
2009,ПК,полётный костюм
2010,ПК,переключающий контакт
2011,ПК,пульсовое кровонаполнение
2012,ПК,подводное крыло
2013,ПК,пневмокуртка
2014,ПК,проект «Культура»
2015,ПК,правительственный квартал
2016,ПК,предусилитель-корректор
2017,ПК,пусковая коробка
2018,ПК,погрузочный кран
2019,ПК,проходческий комплекс
2020,ПК,промышленно-коммерческий
2021,ПК,пункт контроля
2022,ПК,проектный контур
2023,ПК,прямой код
2024,ПК,промежуточный контур
2025,ПК,плата кинескопа
2026,ПК,предельная концентрация
2027,ПК,производственный контроль
2028,ПК,природный комплекс
2029,ПК(-),переключатель кулачковый
2030,"ПК, ПКТ",плавательный костюм
2031,"ПК, ПКФ",пресс-конференция
2032,"ПК, ПрК",программный комплекс
2033,"ПК, полкар",полевой караул
2034,"ПК, помком",помощник командира
2035,"ПК, постком",постоянный комитет
2036,"ПК, потребкооп",потребительский кооператив
2037,"ПК, потребкорзина",потребительская корзина
2038,"ПК, потребкредит",потребительский кредит
2039,"ПК, промкомплекс",промышленный комплекс
2040,ПК-,пломба контрольная
2041,ПК-,переключатель коммутационный
2042,"ПК-Финанс, ПКФ",Петроконсалт-Финанс
2043,ПКТ,предоставление канала по требованию
2044,ПКТ,трековый поликарбонатный
2045,ПКТ,производство компонентов топлив
2046,ПКТ,Первое краевое телевидение
2047,ПКТ,послекурсовая терапия
2048,ПКТ,поточно-контейнерный терминал
2049,ПКТ,плазмокаталитические технологии
2050,ПКТ,Пуэрториканский конгресс трудящихся
2051,ПКТ,пулемёт Калашникова танковый
2052,ПКТ,помещение камерного типа
2053,ПКТ,почтово-кассовый терминал
2054,ПКТ,Псковский кооперативный техникум
2055,ПКТ,Первый контейнерный терминал
2056,ПКТ,Парагвайская конфедерация трудящихся
2057,ПКТ-,печь камерная для термообработки
2058,ПКФ,производственно-коммерческий филиал
2059,ПКФ,проектно-конструкторский филиал
2060,ПКФ,племенная конеферма
2061,ПКФ,Пензенская кондитерская фабрика
2062,ПКФ,производственно-коммерческая фирма
2063,ПКФ,пенокерамический фильтр
2064,ПКФ,прибор контроля фильтров
2065,ПКФ,проспектно-каталожный фонд
2066,ПКФ,персональный комплекс фотофиксации
2067,ПЛ,печёночная липаза
2068,ПЛ,пластический линит
2069,ПЛ,пропиолактон
2070,ПЛ,подразделение логистики
2071,ПЛ,поворотно-лопастная
2072,ПЛ,передвижная лаборатория
2073,ПЛ,плуг лемешный
2074,ПЛ,прикладная лингвистика
2075,ПЛ,площадка лестничная
2076,ПЛ,период лояльности
2077,ПЛ,платёж
2078,ПЛ,плуг лесной
2079,ПЛ,«Подводная лодка»
2080,ПЛ,премьер-лига
2081,ПЛ,«Пурпурный легион»
2082,ПЛ,перфолента
2083,ПЛ,парашют лётчика
2084,ПЛ,Правобережная линия
2085,ПЛ,плуг-лущильник
2086,ПЛ,плацкартный вагон
2087,"ПЛ, ПЛБ",подводная лаборатория
2088,"ПЛ, ПЛР",поточная линия расснаряжения
2089,"ПЛ, ПРЛ",путеремонтная летучка
2090,"ПЛ, пл",плазменный
2091,"ПЛ, подлодка",подводная лодка
2092,"ПЛ, профлицей",профессиональный лицей
2093,ПЛБ,плёнки Ленгмюра-Блоджетт
2094,ПЛБ,промежуточный ликвидационный баланс
2095,ПЛБ,подводная лодка большая
2096,"ПЛБ, ПЛПБ",Петербургский лесопромышленный банк
2097,ПЛК,производственно-лабораторный корпус
2098,ПЛК,Пражский лингвистический кружок
2099,ПЛК,Пулково
2100,ПЛК,Польско-литовское копьё
2101,ПЛК,Приволжская лизинговая компания
2102,ПЛК,"программируемый логический контроллер
программно-логический контроллер"
2103,ПЛК,Первая лизинговая компания
2104,ПЛК,предприятие лесного комплекса
2105,ПЛК,Приозерский лесокомбинат
2106,ПЛК,Петербургская лизинговая компания
2107,ПЛК,производственно-логистический комплекс
2108,ПЛК,пожарно-ливневая канализация
2109,ПЛК,противолодочный корабль
2110,ПЛК,производственный лабораторный контроль
2111,ПЛК,проспект Ленинского комсомола
2112,ПЛК,промышленно-ливневая канализация
2113,ПЛОТ,"«Профессия, лидерство, организация, труд»"
2114,ПЛР,противолодочный рубеж
2115,ПЛР,Правительство Литовской Республики
2116,ПЛР,противолодочная ракета
2117,ПЛРК,"подводная лодка с крылатыми ракетами
подводная лодка, вооружённая крылатыми ракетами"
2118,ПЛРК,Партия левых республиканцев Каталонии
2119,"ПЛРК, ПРК",противолодочный ракетный комплекс
2120,ПМ,Парижский меморандум
2121,ПМ,"пневматический молоток;
пневматический отбойный молоток"
